Angule Distance	Quality
97.0148 758.0 188
97.3114 750.0 188
97.6080 746.0 188
97.9486 744.0 188
98.2452 740.0 188
98.5419 738.0 188
98.8385 738.0 188
99.1406 734.0 188
99.4373 726.0 188
99.7339 734.0 188
99.9646 748.0 188
100.2612 750.0 188
100.5579 748.0 188
100.8545 748.0 188
101.1511 748.0 188
101.5137 742.0 188
101.8103 734.0 188
102.1069 732.0 188
102.4036 732.0 188
102.7002 732.0 188
102.9968 732.0 188
103.2935 734.0 188
103.8867 732.0 188
108.8086 232.0 188
109.1052 233.0 188
109.4019 233.0 188
109.6985 233.0 188
109.9951 233.0 188
110.2917 233.0 188
110.5884 234.0 188
110.8905 234.0 188
111.1871 234.0 188
111.4838 234.0 188
111.7804 234.0 188
112.0111 235.0 188
112.3077 235.0 188
112.6044 235.0 188
112.9010 236.0 188
113.2031 236.0 188
113.4998 236.0 188
113.7469 237.0 188
114.0436 237.0 188
114.3402 237.0 188
114.6368 238.0 188
114.9335 238.0 188
115.2136 238.0 188
115.5103 238.0 188
115.7629 239.0 188
116.0596 239.0 188
116.3562 240.0 188
116.6528 240.0 188
116.9495 240.0 188
117.2461 241.0 188
117.5427 241.0 188
117.8394 241.0 188
118.0756 242.0 188
118.3722 242.0 188
118.6688 243.0 188
118.9655 243.0 188
119.2621 243.0 188
119.4983 244.0 188
119.7949 244.0 188
120.0916 245.0 188
120.3882 245.0 188
120.6848 245.0 188
120.9375 246.0 188
121.2341 247.0 188
121.5308 247.0 188
121.8274 248.0 188
122.1240 248.0 188
122.4207 248.0 188
122.6514 249.0 188
122.9480 249.0 188
123.2446 250.0 188
123.5468 250.0 188
123.7775 251.0 188
124.0741 252.0 188
124.3707 252.0 188
124.6674 253.0 188
124.9640 253.0 188
125.2002 254.0 188
125.4968 254.0 188
125.7935 255.0 188
126.0901 255.0 188
126.3867 256.0 188
126.6229 257.0 188
126.9196 257.0 188
127.2162 258.0 188
127.4634 259.0 188
127.7490 259.0 188
128.0457 260.0 188
128.3423 261.0 188
128.6389 261.0 188
128.8861 262.0 188
129.1827 263.0 188
129.4794 263.0 188
129.7650 264.0 188
130.0616 264.0 188
130.3088 265.0 188
130.6055 266.0 188
130.9021 267.0 188
131.1383 268.0 188
131.4349 269.0 188
131.7316 269.0 188
132.0282 270.0 188
132.2644 271.0 188
132.5610 272.0 188
132.8577 272.0 188
133.1543 273.0 188
133.3905 274.0 188
133.6871 275.0 188
133.9838 276.0 188
134.2145 277.0 188
134.5111 277.0 188
134.8077 279.0 188
135.0604 280.0 188
135.3571 281.0 188
135.6537 282.0 188
135.9338 282.0 188
136.1865 283.0 188
136.4832 284.0 188
136.7798 285.0 188
137.0105 287.0 188
137.3071 288.0 188
137.6093 288.0 188
137.8400 290.0 188
138.1366 291.0 188
138.4332 292.0 188
138.6694 293.0 188
138.9661 294.0 188
139.2627 295.0 188
139.5154 297.0 188
139.8120 298.0 188
140.1086 299.0 188
140.3394 300.0 188
140.6360 301.0 188
140.9326 303.0 188
141.1688 304.0 188
141.4655 305.0 188
141.7621 307.0 188
141.9983 308.0 188
142.2949 309.0 188
142.5916 311.0 188
142.8387 313.0 188
143.1354 313.0 188
143.4210 314.0 188
143.6682 316.0 188
143.9648 318.0 188
144.2615 319.0 188
144.4977 320.0 188
144.7943 322.0 188
145.0305 324.0 188
145.3271 326.0 188
145.6238 327.0 188
145.9204 327.0 188
146.1511 329.0 188
146.4478 332.0 188
146.7004 334.0 188
146.9971 334.0 188
147.2333 337.0 188
147.5299 339.0 188
147.8265 341.0 188
148.0573 343.0 188
148.3594 345.0 188
148.6066 347.0 188
148.8867 349.0 188
149.1833 350.0 188
149.4360 353.0 188
149.7327 355.0 188
149.9634 357.0 188
150.2655 359.0 188
150.5621 361.0 188
150.7928 364.0 188
151.0895 366.0 188
151.3422 368.0 188
151.6388 371.0 188
151.8750 373.0 188
152.1716 375.0 188
152.4683 378.0 188
152.6990 380.0 188
152.9956 384.0 188
153.2483 387.0 188
153.5449 389.0 188
153.7811 391.0 188
154.0778 394.0 188
154.3744 396.0 188
154.6051 400.0 188
154.9017 403.0 188
155.1544 405.0 188
155.4510 408.0 188
155.6873 412.0 188
155.9839 414.0 188
156.2805 416.0 188
156.5112 420.0 188
156.7639 424.0 188
157.0605 428.0 188
157.3407 431.0 188
157.5934 434.0 188
157.8900 437.0 188
158.1207 442.0 188
158.4174 446.0 188
159.2468 448.0 188
161.2134 1578.0 188
161.5155 1590.0 188
161.8121 1600.0 188
162.1088 1608.0 188
162.4054 1622.0 188
162.7020 1634.0 188
162.9327 1652.0 188
163.2294 1672.0 188
164.5587 3772.0 188
164.8553 3768.0 188
165.1520 3768.0 188
165.4486 3768.0 188
165.7452 3756.0 188
166.0419 3748.0 188
166.3385 3752.0 188
166.6406 3752.0 188
166.9373 3756.0 188
167.2339 3760.0 188
167.5305 3772.0 188
168.1238 3788.0 188
168.7006 2064.0 188
168.9972 2068.0 188
169.2938 2072.0 188
169.5905 2076.0 188
169.8871 2080.0 188
170.1837 2084.0 188
170.4639 2088.0 188
170.7605 2096.0 188
171.0571 2104.0 188
171.3593 2116.0 188
171.9525 2128.0 188
173.9960 652.0 188
174.2926 648.0 188
174.5892 652.0 188
175.1825 656.0 188
175.4352 682.0 188
175.7153 680.0 188
176.0120 678.0 188
196.5289 880.0 188
196.8256 882.0 188
197.1222 882.0 188
197.4188 880.0 188
197.7155 880.0 188
197.9956 880.0 188
198.3582 878.0 188
198.6548 878.0 188
